rootfolder,video,utterance,arousal,valence,fold
07ab3c980,07ab3c980_1,utterance_1.mp4,0.2962300642,0.6743070346,1
07ab3c980,07ab3c980_1,utterance_2.mp4,0.1709596366,0.6215631328,1
07ab3c980,07ab3c980_1,utterance_3.mp4,0.176283745,0.3073712544,1
07ab3c980,07ab3c980_1,utterance_4.mp4,0.1246763158,-0.0548003145,1
07ab3c980,07ab3c980_1,utterance_5.mp4,0.1668344809,0.0378432237,1
07ab3c980,07ab3c980_1,utterance_6.mp4,0.2007750799,0.0752892254,1
07ab3c980,07ab3c980_1,utterance_7.mp4,0.0904737264,-0.1830842808,1
07ab3c980,07ab3c980_1,utterance_8.mp4,0.1991149729,-0.2394828266,1
07ab3c980,07ab3c980_1,utterance_9.mp4,0.2512024411,0.0114847739,1
07ab3c980,07ab3c980_1,utterance_10.mp4,0.1472492457,-0.1818016059,1
0cf41d04d,0cf41d04d_1,utterance_24.mp4,0.1849402078,0.3035987754,1
0cf41d04d,0cf41d04d_1,utterance_25.mp4,0.5790200556,0.5139490786,1
0cf41d04d,0cf41d04d_1,utterance_28.mp4,0.7409643837,0.5643134438,1
0cf41d04d,0cf41d04d_1,utterance_30.mp4,0.2131245665,0.1386999641,1
0f3183771,0f3183771_1,utterance_1.mp4,0.485310773,0.2782886504,1
0f3183771,0f3183771_1,utterance_3.mp4,0.6930435285,0.5042561509,1
0f3183771,0f3183771_1,utterance_4.mp4,0.8008603396,0.6638125907,1
105a3c08f,105a3c08f_1,utterance_15.mp4,0.3724904114,-0.1992437786,1
105a3c08f,105a3c08f_1,utterance_16.mp4,0.6813840889,-0.0466554769,1
105a3c08f,105a3c08f_1,utterance_19.mp4,0.3854959192,-0.422668026,1
105a3c08f,105a3c08f_1,utterance_20.mp4,0.3438598758,-0.4344179211,1
105a3c08f,105a3c08f_1,utterance_21.mp4,0.2814901955,-0.3653217236,1
105a3c08f,105a3c08f_1,utterance_22.mp4,0.0763145792,-0.2180131066,1
1808cc160,1808cc160_1,utterance_2.mp4,0.4717442648,0.1960323531,1
1808cc160,1808cc160_1,utterance_3.mp4,0.4423198764,0.0944729681,1
1808cc160,1808cc160_1,utterance_4.mp4,0.4629678639,0.1915429918,1
1808cc160,1808cc160_1,utterance_5.mp4,0.524782342,0.0441851485,1
1808cc160,1808cc160_1,utterance_6.mp4,0.5179221022,0.4169380268,1
1808cc160,1808cc160_1,utterance_7.mp4,0.4765795329,0.1810562264,1
1808cc160,1808cc160_1,utterance_8.mp4,0.6232445677,0.5188349903,1
1808cc160,1808cc160_1,utterance_9.mp4,0.5025949394,-0.049793053,1
1808cc160,1808cc160_1,utterance_10.mp4,0.5027654045,0.0551161596,1
1808cc160,1808cc160_1,utterance_11.mp4,0.5653875021,0.2199289248,1
1808cc160,1808cc160_1,utterance_12.mp4,0.331240966,0.440105074,1
1808cc160,1808cc160_1,utterance_13.mp4,0.4542565063,0.0451705706,1
1808cc160,1808cc160_1,utterance_14.mp4,0.5206999333,0.1946633617,1
1808cc160,1808cc160_1,utterance_15.mp4,0.5767429521,0.0896195299,1
1808cc160,1808cc160_1,utterance_16.mp4,0.5044063751,0.231545488,1
1808cc160,1808cc160_1,utterance_17.mp4,0.5115377863,0.1882813447,1
1808cc160,1808cc160_1,utterance_18.mp4,0.4895698499,-0.0498369494,1
1808cc160,1808cc160_1,utterance_19.mp4,0.5107807032,0.1969738699,1
1808cc160,1808cc160_1,utterance_20.mp4,0.4707635671,0.2277308452,1
1808cc160,1808cc160_1,utterance_21.mp4,0.5380201285,0.2846083096,1
1808cc160,1808cc160_1,utterance_22.mp4,0.6241965176,0.1709586403,1
1808cc160,1808cc160_1,utterance_23.mp4,0.6189708109,-0.036799846,1
1808cc160,1808cc160_1,utterance_24.mp4,0.3516625799,-0.1768920657,1
1b6b8344c,1b6b8344c_1,utterance_1.mp4,0.1477332627,0.4320457812,1
1b6b8344c,1b6b8344c_1,utterance_2.mp4,0.3597010389,0.1749716663,1
1b6b8344c,1b6b8344c_1,utterance_3.mp4,0.1724461754,0.0924347531,1
1b6b8344c,1b6b8344c_1,utterance_4.mp4,0.1547054468,0.1714021051,1
1b6b8344c,1b6b8344c_1,utterance_5.mp4,0.3735104247,0.2250068687,1
1b6b8344c,1b6b8344c_1,utterance_6.mp4,0.3789898782,0.2893047722,1
1b6b8344c,1b6b8344c_1,utterance_7.mp4,0.2992459585,0.251244809,1
1b6b8344c,1b6b8344c_1,utterance_8.mp4,0.2539011224,0.207693458,1
1e0c8219d,1e0c8219d_1,utterance_1.mp4,0.5951571269,0.6327277214,1
1e0c8219d,1e0c8219d_1,utterance_2.mp4,0.3433595549,0.2802465627,1
1e0c8219d,1e0c8219d_1,utterance_3.mp4,0.5769503847,0.4225157124,1
34d64e449,34d64e449_2,utterance_20.mp4,0.7357863102,0.460543683,1
34d64e449,34d64e449_2,utterance_21.mp4,0.4997374323,0.1369668606,1
34d64e449,34d64e449_2,utterance_22.mp4,0.5337171959,-0.0291924826,1
34d64e449,34d64e449_2,utterance_23.mp4,0.4748710967,-0.0675831066,1
34d64e449,34d64e449_2,utterance_24.mp4,0.7090002652,0.2258177229,1
34d64e449,34d64e449_3,utterance_50.mp4,0.5746220237,0.2128025766,1
34d64e449,34d64e449_3,utterance_51.mp4,0.5228758578,-0.0589352896,1
34d64e449,34d64e449_3,utterance_52.mp4,0.434293584,-0.1607681042,1
34d64e449,34d64e449_3,utterance_53.mp4,0.3464049041,-0.114179954,1
3c22d7086,3c22d7086_2,utterance_25.mp4,0.6575954661,0.4304913781,1
3c22d7086,3c22d7086_2,utterance_26.mp4,0.3323201249,-0.3122051793,1
3c22d7086,3c22d7086_2,utterance_28.mp4,0.1903821011,-0.4733642617,1
3c22d7086,3c22d7086_2,utterance_29.mp4,0.2737862575,-0.4071265251,1
3c22d7086,3c22d7086_3,utterance_34.mp4,0.8756021749,0.3966880856,1
3c22d7086,3c22d7086_3,utterance_35.mp4,0.8648473947,0.4115801585,1
3c22d7086,3c22d7086_3,utterance_36.mp4,0.9275448121,0.4824057828,1
3c22d7086,3c22d7086_3,utterance_37.mp4,0.922062619,0.5491952726,1
3c22d7086,3c22d7086_3,utterance_38.mp4,0.9157030358,0.4930690748,1
3c22d7086,3c22d7086_3,utterance_41.mp4,0.9333052107,0.5929790397,1
3c22d7086,3c22d7086_3,utterance_42.mp4,0.9342669688,0.5825216997,1
3c22d7086,3c22d7086_3,utterance_43.mp4,0.8883378342,0.5207308391,1
3c22d7086,3c22d7086_3,utterance_45.mp4,0.8548991391,0.367670543,1
3df704c40,3df704c40_1,utterance_1.mp4,0.2677796068,0.486860126,1
3df704c40,3df704c40_1,utterance_3.mp4,0.244379936,-0.1269868188,1
3df704c40,3df704c40_1,utterance_4.mp4,0.1691631549,-0.0710934799,1
3df704c40,3df704c40_1,utterance_5.mp4,0.303143103,-0.3449024977,1
3df704c40,3df704c40_1,utterance_6.mp4,0.477918636,-0.3899682012,1
3df704c40,3df704c40_1,utterance_7.mp4,0.227211724,-0.2098778329,1
3df704c40,3df704c40_1,utterance_8.mp4,0.212829067,-0.3479001038,1
3df704c40,3df704c40_1,utterance_9.mp4,0.358426428,-0.2091379955,1
3df704c40,3df704c40_1,utterance_10.mp4,0.4337094281,-0.1829613303,1
3df704c40,3df704c40_1,utterance_11.mp4,0.1480828691,-0.1681287107,1
3df704c40,3df704c40_1,utterance_12.mp4,0.0967669864,-0.1079948179,1
3df704c40,3df704c40_1,utterance_13.mp4,0.3076774862,-0.2678944374,1
3df704c40,3df704c40_1,utterance_14.mp4,0.1279119613,-0.1483784376,1
3df704c40,3df704c40_1,utterance_16.mp4,0.0827390412,-0.1913623823,1
3df704c40,3df704c40_1,utterance_17.mp4,0.0772375793,-0.3786443931,1
3df704c40,3df704c40_1,utterance_19.mp4,0.1500485104,-0.2228428321,1
3df704c40,3df704c40_1,utterance_20.mp4,0.5136151643,-0.4423091501,1
3ecbd1402,3ecbd1402_1,utterance_12.mp4,0.7599068333,0.66348598,1
3ecbd1402,3ecbd1402_1,utterance_13.mp4,0.8317839501,0.6976507661,1
3ecbd1402,3ecbd1402_1,utterance_14.mp4,0.6557441536,0.616293015,1
3ecbd1402,3ecbd1402_1,utterance_15.mp4,0.6127866566,0.5590158457,1
3ecbd1402,3ecbd1402_1,utterance_16.mp4,0.7131329771,0.7179349296,1
3ecbd1402,3ecbd1402_1,utterance_17.mp4,0.8121022943,0.7610582626,1
3ecbd1402,3ecbd1402_2,utterance_22.mp4,0.6279471715,0.3745944266,1
3ecbd1402,3ecbd1402_2,utterance_23.mp4,0.5825027335,0.7599536406,1
3ecbd1402,3ecbd1402_2,utterance_25.mp4,0.6882586465,0.4987688388,1
3ecbd1402,3ecbd1402_2,utterance_26.mp4,0.7980200264,0.7051513493,1
3ecbd1402,3ecbd1402_2,utterance_28.mp4,0.4346266042,0.4848872123,1
3ecbd1402,3ecbd1402_2,utterance_29.mp4,0.4318087125,0.5245002231,1
3ecbd1402,3ecbd1402_2,utterance_30.mp4,0.3840728259,0.5862892546,1
3ecbd1402,3ecbd1402_3,utterance_32.mp4,0.7859002631,0.3761353683,1
3ecbd1402,3ecbd1402_3,utterance_33.mp4,0.8780487926,0.2101594315,1
3ecbd1402,3ecbd1402_3,utterance_34.mp4,0.8334932258,0.3225074071,1
3ecbd1402,3ecbd1402_5,utterance_59.mp4,0.481978503,0.7745707386,1
3ecbd1402,3ecbd1402_5,utterance_61.mp4,0.4457039596,0.608739325,1
3ecbd1402,3ecbd1402_5,utterance_62.mp4,0.4579984062,0.6505531182,1
3ecbd1402,3ecbd1402_5,utterance_63.mp4,0.4722411532,0.7245419825,1
3ecbd1402,3ecbd1402_5,utterance_64.mp4,0.4595340957,0.8391689794,1
3ecbd1402,3ecbd1402_5,utterance_65.mp4,0.5590253876,0.6971108371,1
3ecbd1402,3ecbd1402_5,utterance_66.mp4,0.4730373807,0.7666509963,1
3ecbd1402,3ecbd1402_6,utterance_70.mp4,0.6132829994,0.3146912433,1
3ecbd1402,3ecbd1402_6,utterance_72.mp4,0.3177112367,-0.0723508524,1
3ecbd1402,3ecbd1402_6,utterance_73.mp4,0.4257229591,0.1548385571,1
3ecbd1402,3ecbd1402_9,utterance_112.mp4,0.6365473228,0.7116938742,1
3ecbd1402,3ecbd1402_9,utterance_113.mp4,0.5839456927,0.6855079206,1
3ecbd1402,3ecbd1402_9,utterance_114.mp4,0.5179430147,0.4994013498,1
4137641fa,4137641fa_1,utterance_1.mp4,0.907952223,0.4162736363,1
4137641fa,4137641fa_1,utterance_3.mp4,0.3223469599,0.1261171666,1
4137641fa,4137641fa_1,utterance_4.mp4,0.5298071202,0.1458314537,1
4137641fa,4137641fa_1,utterance_6.mp4,0.9204717916,0.5273523416,1
4137641fa,4137641fa_1,utterance_7.mp4,0.4122780139,0.0873808934,1
4137641fa,4137641fa_1,utterance_8.mp4,0.2833269241,0.0792042728,1
4137641fa,4137641fa_1,utterance_9.mp4,0.3817718999,-0.1359674195,1
4137641fa,4137641fa_1,utterance_10.mp4,0.2854722914,-0.2501644719,1
4137641fa,4137641fa_1,utterance_11.mp4,0.7258052842,-0.0985673587,1
4137641fa,4137641fa_1,utterance_13.mp4,0.321846272,-0.1706244607,1
4137641fa,4137641fa_1,utterance_14.mp4,0.4979799882,-0.2741090168,1
4137641fa,4137641fa_1,utterance_15.mp4,0.4459486388,0.077983689,1
4137641fa,4137641fa_1,utterance_16.mp4,0.5312947193,-0.2343266923,1
4137641fa,4137641fa_1,utterance_17.mp4,0.832905554,0.3566570695,1
46a7f440b,46a7f440b_1,utterance_1.mp4,0.7717663787,-0.1379425964,1
46a7f440b,46a7f440b_1,utterance_2.mp4,0.7884330911,0.227735216,1
46a7f440b,46a7f440b_1,utterance_5.mp4,0.8265132351,0.2891961003,1
46a7f440b,46a7f440b_1,utterance_6.mp4,0.398512463,0.3886636429,1
4ae5ecb00,4ae5ecb00_1,utterance_1.mp4,0.612503363,0.0469926475,1
4ae5ecb00,4ae5ecb00_1,utterance_2.mp4,0.627564335,0.2943077921,1
4ae5ecb00,4ae5ecb00_1,utterance_3.mp4,0.5873242299,0.3635875801,1
4ae5ecb00,4ae5ecb00_1,utterance_4.mp4,0.5625165622,0.3026750522,1
